Comment 1,Comment 2
2024-02-09 21:00:00+00:00,4hr model and 1hr model predict the same Sell.<br>Market Information:<br>Date: 2024-02-09 21:00:00+00:00<br>The current open price is 149.29.<br>The current close price is 149.26.<br>The price 4 hours ago is 148.54.<br>The average entry price 4 hours ago is 148.91.<br>
2024-02-09 21:00:00+00:00,4hr model and 1hr model predict the same Sell.<br>Market Information:<br>Date: 2024-02-09 21:00:00+00:00<br>The current open price is 149.29.<br>The current close price is 149.26.<br>The price 4 hours ago is 148.54.<br>The average entry price 4 hours ago is 148.91.<br>
Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-09 21:00:00+00:00<br>The current open price is 149.29.<br>The current close price is 149.26.<br>The price 4 hours ago is 148.54.<br>The average entry price 4 hours ago is 148.91.<br>,All model versions predict a Sell<br>Market Information:<br>Date: 2024-02-09 21:00:00+00:00<br>The current open price is 149.29.<br>The current close price is 149.26.<br>The price 4 hours ago is 148.54.<br>The average entry price 4 hours ago is 148.91.<br>
2024-02-09 21:00:00+00:00,4hr model and 1hr model predict the same Sell.<br>Market Information:<br>Date: 2024-02-09 21:00:00+00:00<br>The current open price is 149.29.<br>The current close price is 149.26.<br>The price 4 hours ago is 148.54.<br>The average entry price 4 hours ago is 148.91.<br>
2024-02-09 21:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-09 21:00:00+00:00<br>The current open price is 149.29.<br>The current close price is 149.3.<br>The price 4 hours ago is 148.54.<br>The average entry price 4 hours ago is 148.91.<br>
Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-09 21:00:00+00:00<br>The current open price is 149.29.<br>The current close price is 149.3.<br>The price 4 hours ago is 148.54.<br>The average entry price 4 hours ago is 148.91.<br>,All model versions predict a Sell<br>Market Information:<br>Date: 2024-02-09 21:00:00+00:00<br>The current open price is 149.29.<br>The current close price is 149.3.<br>The price 4 hours ago is 148.54.<br>The average entry price 4 hours ago is 148.91.<br>
2024-02-09 21:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-09 21:00:00+00:00<br>The current open price is 149.29.<br>The current close price is 149.3.<br>The price 4 hours ago is 148.54.<br>The average entry price 4 hours ago is 148.91.<br>
2024-02-09 21:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-09 21:00:00+00:00<br>The current open price is 149.29.<br>The current close price is 149.3.<br>The price 4 hours ago is 148.54.<br>The average entry price 4 hours ago is 148.91.<br>
2024-02-09 21:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-09 21:00:00+00:00<br>The current open price is 149.29.<br>The current close price is 149.4.<br>The price 4 hours ago is 148.54.<br>The average entry price 4 hours ago is 148.91.<br>
Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-09 21:00:00+00:00<br>The current open price is 149.29.<br>The current close price is 149.4.<br>The price 4 hours ago is 148.54.<br>The average entry price 4 hours ago is 148.91.<br>,All model versions predict a Sell<br>Market Information:<br>Date: 2024-02-09 21:00:00+00:00<br>The current open price is 149.29.<br>The current close price is 149.4.<br>The price 4 hours ago is 148.54.<br>The average entry price 4 hours ago is 148.91.<br>
2024-02-09 21:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-09 21:00:00+00:00<br>The current open price is 149.29.<br>The current close price is 149.45.<br>The price 4 hours ago is 148.54.<br>The average entry price 4 hours ago is 148.91.<br>
Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-09 21:00:00+00:00<br>The current open price is 149.29.<br>The current close price is 149.45.<br>The price 4 hours ago is 148.54.<br>The average entry price 4 hours ago is 148.91.<br>,All model versions predict a Sell<br>Market Information:<br>Date: 2024-02-09 21:00:00+00:00<br>The current open price is 149.29.<br>The current close price is 149.45.<br>The price 4 hours ago is 148.54.<br>The average entry price 4 hours ago is 148.91.<br>
2024-02-09 21:00:00+00:00,All model versions predict a Sell<br>Market Information:<br>Date: 2024-02-09 21:00:00+00:00<br>The current open price is 149.29.<br>The current close price is 149.0.<br>The price 4 hours ago is 148.54.<br>The average entry price 4 hours ago is 148.91.<br>
2024-02-09 21:00:00+00:00,All model versions predict a Sell<br>Market Information:<br>Date: 2024-02-09 21:00:00+00:00<br>The current open price is 149.29.<br>The current close price is 149.0.<br>The price 4 hours ago is 148.54.<br>The average entry price 4 hours ago is 148.91.<br>
2024-02-09 21:00:00+00:00,All model versions predict a Sell<br>Market Information:<br>Date: 2024-02-09 21:00:00+00:00<br>The current open price is 149.29.<br>The current close price is 149.0.<br>The price 4 hours ago is 148.54.<br>The average entry price 4 hours ago is 148.91.<br>
2024-02-09 21:00:00+00:00,All model versions predict a Sell<br>Market Information:<br>Date: 2024-02-09 21:00:00+00:00<br>The current open price is 149.29.<br>The current close price is 149.0.<br>The price 4 hours ago is 148.54.<br>The average entry price 4 hours ago is 148.91.<br>
2024-02-14 19:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-14 19:00:00+00:00<br>The current open price is 150.48.<br>The current close price is 150.56.<br>The price 4 hours ago is 150.62.<br>The average entry price 4 hours ago is 150.55.<br>
Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-14 21:00:00+00:00<br>The current open price is 150.59.<br>The current close price is 150.62.<br>The price 4 hours ago is 150.44.<br>The average entry price 4 hours ago is 150.51.<br>,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-14 21:00:00+00:00<br>The current open price is 150.59.<br>The current close price is 150.62.<br>The price 4 hours ago is 150.44.<br>The average entry price 4 hours ago is 150.51.<br>
2024-02-14 21:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-14 21:00:00+00:00<br>The current open price is 150.59.<br>The current close price is 150.62.<br>The price 4 hours ago is 150.44.<br>The average entry price 4 hours ago is 150.51.<br>
2024-02-14 21:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-14 21:00:00+00:00<br>The current open price is 150.59.<br>The current close price is 150.62.<br>The price 4 hours ago is 150.44.<br>The average entry price 4 hours ago is 150.51.<br>
2024-02-14 21:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-14 21:00:00+00:00<br>The current open price is 150.59.<br>The current close price is 150.62.<br>The price 4 hours ago is 150.44.<br>The average entry price 4 hours ago is 150.51.<br>
Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-14 21:00:00+00:00<br>The current open price is 150.59.<br>The current close price is 150.62.<br>The price 4 hours ago is 150.44.<br>The average entry price 4 hours ago is 150.51.<br>,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-14 21:00:00+00:00<br>The current open price is 150.59.<br>The current close price is 150.62.<br>The price 4 hours ago is 150.44.<br>The average entry price 4 hours ago is 150.51.<br>
2024-02-14 21:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-14 21:00:00+00:00<br>The current open price is 150.59.<br>The current close price is 150.62.<br>The price 4 hours ago is 150.44.<br>The average entry price 4 hours ago is 150.51.<br>
2024-02-14 21:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-14 21:00:00+00:00<br>The current open price is 150.59.<br>The current close price is 150.62.<br>The price 4 hours ago is 150.44.<br>The average entry price 4 hours ago is 150.51.<br>
2024-02-14 21:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-14 21:00:00+00:00<br>The current open price is 150.59.<br>The current close price is 150.62.<br>The price 4 hours ago is 150.44.<br>The average entry price 4 hours ago is 150.51.<br>
2024-02-14 21:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-14 21:00:00+00:00<br>The current open price is 150.59.<br>The current close price is 150.62.<br>The price 4 hours ago is 150.44.<br>The average entry price 4 hours ago is 150.51.<br>
2024-02-14 21:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-14 21:00:00+00:00<br>The current open price is 150.59.<br>The current close price is 150.62.<br>The price 4 hours ago is 150.44.<br>The average entry price 4 hours ago is 150.51.<br>
2024-02-14 21:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-14 21:00:00+00:00<br>The current open price is 150.59.<br>The current close price is 150.62.<br>The price 4 hours ago is 150.44.<br>The average entry price 4 hours ago is 150.51.<br>
2024-02-14 21:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-14 21:00:00+00:00<br>The current open price is 150.59.<br>The current close price is 150.62.<br>The price 4 hours ago is 150.44.<br>The average entry price 4 hours ago is 150.51.<br>
2024-02-14 21:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-14 21:00:00+00:00<br>The current open price is 150.59.<br>The current close price is 150.62.<br>The price 4 hours ago is 150.44.<br>The average entry price 4 hours ago is 150.51.<br>
2024-02-14 21:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-14 21:00:00+00:00<br>The current open price is 150.59.<br>The current close price is 150.62.<br>The price 4 hours ago is 150.44.<br>The average entry price 4 hours ago is 150.51.<br>
2024-02-14 21:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-14 21:00:00+00:00<br>The current open price is 150.59.<br>The current close price is 150.62.<br>The price 4 hours ago is 150.44.<br>The average entry price 4 hours ago is 150.51.<br>
2024-02-14 21:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-14 21:00:00+00:00<br>The current open price is 150.59.<br>The current close price is 150.62.<br>The price 4 hours ago is 150.44.<br>The average entry price 4 hours ago is 150.51.<br>
2024-02-14 21:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-14 21:00:00+00:00<br>The current open price is 150.59.<br>The current close price is 150.62.<br>The price 4 hours ago is 150.44.<br>The average entry price 4 hours ago is 150.51.<br>
2024-02-14 21:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-14 21:00:00+00:00<br>The current open price is 150.59.<br>The current close price is 150.62.<br>The price 4 hours ago is 150.44.<br>The average entry price 4 hours ago is 150.51.<br>
2024-02-14 21:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-14 21:00:00+00:00<br>The current open price is 150.59.<br>The current close price is 150.62.<br>The price 4 hours ago is 150.44.<br>The average entry price 4 hours ago is 150.51.<br>
2024-02-16 06:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-16 06:00:00+00:00<br>The current open price is 150.18.<br>The current close price is 150.2.<br>The price 4 hours ago is 150.56.<br>The average entry price 4 hours ago is 150.37.<br>
2024-02-16 06:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>Market Information:<br>Date: 2024-02-16 06:00:00+00:00<br>The current open price is 150.18.<br>The current close price is 150.2.<br>The price 4 hours ago is 150.56.<br>The average entry price 4 hours ago is 150.37.<br>
2024-02-16 06:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>
Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>
2024-02-16 07:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>
2024-02-16 07:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>
2024-02-16 07:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>
2024-02-16 07:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>
2024-02-16 07:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>
2024-02-16 07:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>
2024-02-16 07:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>
Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>
2024-02-16 07:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>
2024-02-16 07:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>
2024-02-16 07:00:00+00:00,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>
Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>
Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>,Oscillation: 4hr LAGGED model and 1hr model predict the same Buy<br>
4hr model and 1hr model predict the same Sell.<br>,All model versions predict a Sell<br>
2024-02-19 09:00:00+00:00,4hr model and 1hr model predict the same Sell.<br>
2024-02-19 09:00:00+00:00,4hr model and 1hr model predict the same Sell.<br>
4hr model and 1hr model predict the same Sell.<br>,All model versions predict a Sell<br>
4hr model and 1hr model predict the same Sell.<br>,All model versions predict a Sell<br>
4hr model and 1hr model predict the same Sell.<br>,All model versions predict a Sell<br>
4hr model and 1hr model predict the same Sell.<br>,All model versions predict a Sell<br>
4hr model and 1hr model predict the same Sell.<br>,All model versions predict a Sell<br>
4hr model and 1hr model predict the same Sell.<br>,All model versions predict a Sell<br>
4hr model and 1hr model predict the same Sell.<br>,All model versions predict a Sell<br>
4hr model and 1hr model predict the same Sell.<br>,All model versions predict a Sell<br>
4hr model and 1hr model predict the same Sell.<br>,All model versions predict a Sell<br>
4hr model and 1hr model predict the same Sell.<br>,All model versions predict a Sell<br>
4hr model and 1hr model predict the same Sell.<br>,All model versions predict a Sell<br>
4hr model and 1hr model predict the same Sell.<br>,All model versions predict a Sell<br>
4hr model and 1hr model predict the same Sell.<br>,All model versions predict a Sell<br>
4hr model and 1hr model predict the same Sell.<br>,All model versions predict a Sell<br>
4hr model and 1hr model predict the same Sell.<br>,All model versions predict a Sell<br>
4hr model and 1hr model predict the same Sell.<br>,All model versions predict a Sell<br>
4hr model and 1hr model predict the same Sell.<br>,All model versions predict a Sell<br>
4hr model and 1hr model predict the same Sell.<br>,All model versions predict a Sell<br>
4hr model and 1hr model predict the same Sell.<br>,All model versions predict a Sell<br>
4hr model and 1hr model predict the same Sell.<br>,All model versions predict a Sell<br>
4hr model and 1hr model predict the same Sell.<br>,All model versions predict a Sell<br>
4hr model and 1hr model predict the same Sell.<br>,All model versions predict a Sell<br>
4hr model and 1hr model predict the same Sell.<br>,All model versions predict a Sell<br>
4hr model and 1hr model predict the same Sell.<br>,All model versions predict a Sell<br>
4hr model and 1hr model predict the same Sell.<br>,All model versions predict a Sell<br>
4hr model and 1hr model predict the same Sell.<br>,4hr model and 1hr model predict the same Sell.<br>
4hr model and 1hr model predict the same Sell.<br>,4hr model and 1hr model predict the same Sell.<br>
